Row Labels,no_injured,no_killed,no_incident
North Carolina,98,54,195
North Dakota,2,0,10
Ohio,117,49,237
Oklahoma,34,21,80
Oregon,12,5,51
Pennsylvania,98,47,168
Rhode Island,6,0,17
South Carolina,65,36,150
South Dakota,1,3,22
Tennessee,126,47,191
Texas,120,112,233
Utah,9,3,19
Vermont,2,0,8
Virginia,71,36,142
Washington,42,14,86
West Virginia,11,5,35
Wisconsin,53,16,145
Wyoming,3,0,19
Jun,2679,1366,5158
Alabama,84,54,129
Alaska,7,3,34
Arizona,17,22,38
Arkansas,29,9,63
California,189,144,572
Colorado,26,15,57
Connecticut,17,6,67
Delaware,24,2,36
District of Columbia,37,7,117
Florida,158,80,311
Georgia,86,71,170
Hawaii,1,0,5
Idaho,2,6,9
Illinois,390,105,494
Indiana,78,34,129
Iowa,16,8,48
Kansas,18,7,36
Kentucky,43,27,82
Louisiana,106,50,161
Maine,3,3,12
Maryland,73,39,119
Massachusetts,43,12,156
Michigan,58,30,97
Minnesota,22,14,58
Mississippi,41,28,86
Missouri,90,58,151
Montana,3,0,19
Nebraska,12,5,39
Nevada,20,24,41
New Hampshire,2,2,19
New Jersey,59,29,118
New Mexico,10,15,43
New York,109,25,182
North Carolina,76,45,146
North Dakota,3,1,7
Ohio,125,54,198
Oklahoma,26,33,69
Oregon,12,8,35
Pennsylvania,89,60,173
Rhode Island,10,2,25
South Carolina,83,34,141
South Dakota,1,3,28
Tennessee,99,43,145
Texas,99,66,161
Utah,9,10,14
Vermont,0,0,6
Virginia,86,31,117
Washington,21,13,55
West Virginia,15,5,25
Wisconsin,50,24,99
Wyoming,2,0,16
Jul,3018,1391,5547
Alabama,65,56,127
Alaska,2,4,30
Arizona,39,29,68
Arkansas,63,26,72
California,203,126,505
Colorado,23,22,78
Connecticut,27,11,68
Delaware,29,3,32
District of Columbia,40,11,149
Florida,183,91,356
Georgia,110,54,198
Hawaii,6,0,12
Idaho,3,6,14
Illinois,414,96,493
Indiana,69,33,120
Iowa,26,4,62
Kansas,17,15,49
Kentucky,33,16,74
Louisiana,81,46,144
Maine,2,7,18
Maryland,80,51,151
Massachusetts,62,12,151
Michigan,80,29,131
Minnesota,22,11,76
Mississippi,53,30,93
Missouri,91,62,152
Montana,2,5,15
Nebraska,9,4,44
Nevada,20,9,34
New Hampshire,3,1,12
New Jersey,80,21,128
New Mexico,17,16,49
New York,122,40,199
North Carolina,119,44,157
North Dakota,3,3,12
Ohio,158,62,231
Oklahoma,30,15,71
Oregon,14,7,36
Pennsylvania,97,61,173
Rhode Island,7,3,26
South Carolina,67,36,168
South Dakota,2,1,26
Tennessee,97,46,165
Texas,135,83,232
Utah,14,6,26
Vermont,0,3,7
Virginia,107,34,126
Washington,21,16,64
West Virginia,10,3,24
Wisconsin,61,21,94
Wyoming,0,0,5
Aug,2731,1324,5202
Alabama,90,44,143
Alaska,6,6,19
Arizona,27,19,48
Arkansas,52,17,75
California,162,124,355
Colorado,8,17,70
Connecticut,23,11,72
Delaware,12,2,23
District of Columbia,35,9,130
Florida,131,70,298
Georgia,100,65,190
Hawaii,0,0,4
Idaho,2,4,10
Illinois,359,99,468
Indiana,73,47,132
Iowa,22,6,54
Kansas,27,17,56
Kentucky,36,22,79
Louisiana,90,36,135
Maine,2,2,16
Maryland,82,43,143
Massachusetts,39,16,174
Michigan,53,24,93
Minnesota,38,7,70
Mississippi,54,25,100
Missouri,87,63,166
Montana,5,5,16
Nebraska,16,0,39
Nevada,15,14,36
New Hampshire,2,3,20
New Jersey,71,28,123
New Mexico,16,12,36
New York,137,27,181
North Carolina,93,63,181
North Dakota,1,3,14
Ohio,117,62,230
Oklahoma,36,14,56
Oregon,15,3,40
Pennsylvania,114,50,194
Rhode Island,8,0,16
South Carolina,61,42,160
South Dakota,2,1,33
Tennessee,98,42,155
Texas,126,75,195
Utah,8,11,26
Vermont,1,0,4
